"station","name","lon","lat"
2204549,"Ічня",32.40811539,50.84227753
2214170,"Єнакієве",38.2000885,48.22639465
2218201,"Коршів",25.0168438,48.65391541
2218049,"Рожище",25.26075745,50.90970612
2218175,"Заболотів",25.30735016,48.47372055
2218129,"Берегове",22.6302433,48.20307159
2218135,"Чортків",25.78888512,49.02715683
2204573,"Решетилівка",34.14050293,49.63729477
2208470,"Крижопіль",28.86506081,48.37924957
2208347,"Виска",31.64691544,48.6338501
2210865,"Великий Токмак",35.71900558,47.23389435
2218235,"Турка",23.02441025,49.1522789
2218062,"Сокаль",24.25701141,50.46492004
2200080,"Соломірка",28.153692,49.518809
2200112,"Горбаші",28.6823101,50.45598602
2200145,"Судилків",27.13220978,50.18026352
2200196,"Воршиця",28.55609512,49.4636879
2200378,"Залісся",25.909223,48.951145
2200400,"Житомир",28.69807625,50.26813126
2201194,"Поляни",27.34869385,50.13730621
2204588,"Шишаки",33.21486282,49.89928055
2208346,"Новомиргород",31.67793465,48.79487991
2208546,"Вадим",33.59971237,46.18122101
2218044,"Іваничі",24.36795807,50.63796234
2218148,"Теребовля",25.69634438,49.29874039
2218518,"Ягодин",23.89587784,51.19818878
2204607,"Ганнівка",33.90056229,49.23682022
2218121,"Волосянка-Закарпатська",22.809236,48.982674
2208351,"Чорноліська",32.51987457,48.74860382
2204592,"Глобине",33.226824,49.399864
2214068,"Сіверськ",38.0932579,48.87021255
2218122,"Великий Березний",22.45825958,48.89817429
2204591,"Веселий Поділ",33.189158,49.60341
2208427,"Ладижин",29.23999405,48.63035202
2218041,"Турійськ",24.53276634,51.07969284
2210785,"Таврійськ",35.27770996,47.43965912
2208473,"Березівка",30.94197083,47.19249344
2204584,"Карлівка",35.12755203,49.45528793
2200232,"Дунаївці",26.83828545,49.02069092
2204589,"Хорол",33.2069397,49.78436661
2218214,"Лазещина",24.42246819,48.25804138
2208405,"Людмилівка",31.450412,48.034653
2218199,"Отиня",24.84537125,48.73638153
2204486,"Кегичівка",35.768598,49.28531
2204407,"Куземівка",37.95898056,49.52089691
2200229,"Гречани",26.9296627,49.44287109
2218205,"Маневичі",25.53339577,51.29309464
2204406,"Кислівка",37.900833,49.641944
2218064,"Соснівка",24.26314354,50.2921257
2200258,"Рахни",28.47200012,48.78879929
2208349,"Адабаш",31.479855,48.353087
2218032,"Чарторийськ",25.83443069,51.29958725
2218151,"Хоростків",25.90912247,49.19552612
2204520,"Сула",33.39891434,50.39868164
2200307,"Старий Луг",32.66767502,51.13534164
2204412,"Тополі",37.910606,49.960223
2204567,"Гоголеве",33.82325363,49.91228485
2218112,"Старий Самбір",23.00369453,49.44490433
2204413,"Дворічна",37.672222,49.851111
2208475,"Буялик",30.71993256,46.91059875
2204606,"Козельщина",33.84497833,49.22000885
2218195,"Клесів",26.88480759,51.31245422
2201242,"Славутич",30.754354,51.515057
2204609,"Кобеляки",34.10367203,49.23070526
2218285,"Горохів",24.81586838,50.4497757
2200264,"Коржівці",27.2940464,49.29154205
2208396,"Веселинове",31.227613,47.363385
2204536,"Блотниця",33.02252579,50.85375595
2201157,"Мирославка",28.4693985,49.95359039
2204470,"Рубанка",32.94485092,50.93739319
2204534,"Григорівка",32.8234024,51.01794434
2204421,"Прокопівка",37.568889,49.645278
2200700,"Васютинці",27.77890396,49.13506317
2204568,"Яреськи",33.88322449,49.81517029
2200011,"Янпіль",33.74446869,51.9106369
2210770,"Євпаторія-Курорт",33.355008,45.1999
2200038,"Горностаївка",31.15197945,52.05330276
2208507,"Явкине",32.470626,47.318798
2208523,"Березнегувате",32.99234,47.243691
2208337,"Пальміра",32.15311432,49.76097488
2210860,"Саки",33.5991,45.144731
2200243,"Браїлів",28.14014053,49.08605957
2200293,"Кордишівка",28.78344727,49.63998413
2200241,"Тюшки",28.48849297,49.15060043
2200282,"Доч",32.57884598,51.31597137
2200743,"Нова Борова",28.62431526,50.69123459
2204438,"Козача Лопань",36.19400787,50.3346405
2204563,"Лазірки",32.64363098,50.09553909
2200223,"Уладівка",28.20404816,49.50737381
2210709,"Молочанськ",35.614281,47.201973
2204472,"Лихачове",36.06670761,48.9166069
2204467,"Балаклія",36.86193466,49.467659
2210698,"Верхній Токмак 2",36.31221008,47.22043228
2200231,"Ярмолинці",26.804245,49.17886353
2210311,"Варварівка",35.98579407,48.70479965
2204544,"Гадяч",33.97559357,50.38555908
2200490,"Речовий Ринок",26.962806,49.417035
2204473,"Краснопавлівка",36.32127762,49.13994598
2214073,"Сіль",38.03430557,48.71535873
2204543,"Венеславівка",33.737667,50.363906
2214278,"Хлібодарівка",37.41065216,47.48649216
2200225,"Красилів",27.01443863,49.669487
2204541,"Юсківці",33.330455,50.469383
2200279,"Макошине",32.331604,51.46448135
2200181,"Пасічний",27.54928398,49.69370651
2204542,"Лохвиця",33.45990753,50.36922836
2204545,"Бодаква",33.45733261,50.29157257
2204546,"Сенча",33.44085693,50.19772339
2200171,"Козятин 2",28.78317642,49.75707245
2204424,"Гракове",36.867514,49.728745
2208461,"Раухівка 1",30.833589,47.170783
2204505,"Сироватка",34.838333,50.785278
2210890,"Елеваторна",34.132527,45.291457
2208472,"Колосівка",31.01834869,47.30542755
2218047,"Голоби",25.00635719,51.08349991
2201126,"Робоча",28.51973915,49.45428848
2200027,"Путійська",33.60206604,51.21298218
2210955,"Верхній Токмак 1",36.30743027,47.20722198
2214109,"Кабанне",38.21578217,49.22686005
2201165,"Лівий Берег",30.60581017,50.42136002
2204466,"Шебелинка",36.64030075,49.54437637
2200259,"Ярошенка",28.26795959,48.90226364
2200197,"Калинівка 2",28.47605133,49.45650101
2208519,"Блакитне",33.442919,47.411268
2214148,"Новий Айдар",39.02816772,48.95050049
2208550,"Балта",29.62517738,47.87437439
2200233,"Балин",26.63460159,48.90660477
2218045,"Снятин",25.50516129,48.4293251
2218068,"Стоянів",24.66671753,50.37792969
2218210,"Дубровиця",26.59511185,51.56065369
2218152,"Копичинці",25.92752457,49.09893417
2204465,"Зміїв",36.37155533,49.70707321
2208424,"Кублич",29.64697838,48.6738472
2208348,"Капустине",31.55133438,48.47145081
2218053,"Клевань",26.0277729,50.75137711
2218071,"Кам'янка-Бузька",24.35694504,50.09878159
2218003,"Удрицьк",26.75040627,51.74732971
2204581,"Селещина",34.83560562,49.46755981
2201141,"Рачки",28.36214066,49.95944595
2201144,"Білоус",31.19707298,51.49447632
2201203,"Чернявка",29.6191349,49.96606445
2201211,"Новичі",27.32051277,50.1418457
2201233,"Воронківці",27.129444,49.7125
2201244,"Велика Загорівка",32.54492188,51.1143074
2204594,"Рублівка",33.302778,49.255278
